Year,Month,Division,rolling_avg_goal_diff
2008,1,E1,0.5106382978723404
2008,2,E1,0.4880777696258254
2008,3,E1,0.4676616025147779
2008,4,E1,0.35300439211288664
2008,5,E1,0.6978319783197833
2008,8,E1,0.7152777777777778
2008,9,E1,0.7708333333333334
2008,10,E1,0.48194444444444445
2008,11,E1,0.3597809076682316
2008,12,E1,0.38565609792698347
2009,1,E1,0.2708412831121687
2009,2,E1,0.3037954181789798
2009,3,E1,0.2553507834757835
2009,4,E1,0.22373110409491007
2009,5,E1,0.458773839137645
2009,8,E1,0.43134328358208945
2009,9,E1,0.4231638418079095
2009,10,E1,0.29576920579258387
2009,11,E1,0.4451844104709464
2009,12,E1,0.4593943060367742
2010,1,E1,0.38200858029499396
2010,2,E1,0.4109188842238301
2010,3,E1,0.5150085614842391
2010,4,E1,0.6258735793260012
2010,5,E1,0.33088140405213573
2010,8,E1,0.35052910052910047
2010,9,E1,0.33888888888888885
2010,10,E1,0.39999999999999997
2010,11,E1,0.2555555555555555
2010,12,E1,0.2752525252525252
2011,1,E1,0.4363636363636363
2011,2,E1,0.373030303030303
2011,3,E1,0.19735849056603771
2011,4,E1,0.18942198262952972
2011,5,E1,0.3932315064390535
2011,8,E1,0.35485606672047343
2011,9,E1,0.3521542767846409
2011,10,E1,0.3616780863084505
2011,11,E1,0.43074101247248714
2011,12,E1,0.4413793103448276
2012,1,E1,0.2691570881226053
2012,2,E1,0.2808641975308641
2012,3,E1,0.13251254917921576
2012,4,E1,0.1549630819037211
2012,8,E1,0.3833581436321161
2012,9,E1,0.4150431253170978
2012,10,E1,0.39259259259259255
2012,11,E1,0.1599695585996955
2012,12,E1,0.17277149096684527
2013,1,E1,0.21745748130500953
2013,2,E1,0.2908212560386473
2013,3,E1,0.3099865367862516
2013,4,E1,0.36641165755919847
2013,5,E1,0.46085610200364285
2013,8,E1,0.4523352165725046
2013,9,E1,0.4652902993148214
2013,10,E1,0.41667918820371036
2013,11,E1,0.3501773049645389
2013,12,E1,0.29509132420091316
2014,1,E1,0.3537024353120242
2014,2,E1,0.40336176445248556
2014,3,E1,0.4028782833888272
2014,4,E1,0.1731813136918575
2014,5,E1,-0.07786690433749262
2014,8,E1,-0.0030303030303031053
2014,9,E1,0.04853801169590635
2014,10,E1,0.3070850202429149
2014,11,E1,0.3154654345555326
2014,12,E1,0.2891496450818484
2015,1,E1,0.3431026365348399
2015,2,E1,0.3144561815336463
2015,3,E1,0.3200117370892019
2015,4,E1,0.22478723176195678
2015,5,E1,0.08394216133942156
2015,8,E1,0.039780202770683344
2015,9,E1,0.10538452669203273
2015,10,E1,0.21094008224758828
2015,11,E1,0.2773242630385487
2015,12,E1,0.3766823161189358
2016,1,E1,0.33401984232438653
2016,2,E1,0.36179762010216426
2016,3,E1,0.2940041928721174
2016,4,E1,0.30954248366013065
2016,5,E1,0.22224089635854338
2016,8,E1,0.30779645191409893
2016,9,E1,0.24047619047619048
2016,10,E1,0.36666666666666664
2016,11,E1,0.11481481481481477
2016,12,E1,0.24179894179894176
2017,1,E1,0.2682695300342359
2017,2,E1,0.42240896358543417
2017,3,E1,0.3954248366013072
2017,4,E1,0.4372082166199813
2017,5,E1,0.38492063492063494
2017,8,E1,0.42936507936507934
2017,9,E1,0.27391304347826084
2017,10,E1,0.23963408366738617
2017,11,E1,0.18023237426567676
2017,12,E1,0.2100230344911196
2018,1,E1,0.19583863732799903
2018,2,E1,0.18165200428890696
2018,3,E1,0.1568560218658059
2018,4,E1,0.26848528447146025
2018,5,E1,0.6309625158011506
2018,8,E1,0.6451331187464132
2018,9,E1,0.7128523355253001
2018,10,E1,0.3572967799697446
2018,11,E1,0.32394067796610165
2018,12,E1,0.19768518518518519
2019,1,E1,0.23000841750841752
2019,2,E1,0.307080366506596
2019,3,E1,0.4107369892310153
2019,4,E1,0.4761915346855608
2019,5,E1,0.4787136027813994
2019,8,E1,0.4028347578347578
2019,9,E1,0.16061253561253563
2019,10,E1,0.2301475204017577
2019,11,E1,0.2608286252354049
2019,12,E1,0.4122745917498645
2020,1,E1,0.24067826960518748
2020,2,E1,0.10968852279623165
2020,3,E1,0.11636221440143012
2020,6,E1,0.0794657353797139
2020,7,E1,0.12211444469508988
2020,9,E1,0.03806886064950582
2020,10,E1,0.053451178451178465
2020,11,E1,0.12314814814814816
2020,12,E1,0.22057165861513686
2021,1,E1,0.22901392441034385
2021,2,E1,0.21762151934705268
2021,3,E1,0.14056837925043433
2021,4,E1,0.1924315487606627
2021,5,E1,0.2371572871572872
2021,8,E1,0.1982683982683983
2021,9,E1,0.2944444444444445
2021,10,E1,0.30000000000000004
2021,11,E1,0.37222222222222223
2021,12,E1,0.2680216802168022
2022,1,E1,0.22976172214552337
2022,2,E1,0.3362834612759582
2022,3,E1,0.4011677639651389
2022,4,E1,0.3246352186896975
2022,5,E1,0.7411293525751358
2022,7,E1,0.7708496322954154
2022,8,E1,0.8991341991341991
2022,9,E1,0.2948870948870949
2022,10,E1,0.22766313111140699
2022,11,E1,0.044979148427424294
2022,12,E1,0.05398815743643331
2023,1,E1,0.06371406371406371
2023,2,E1,0.2263700351935646
2023,3,E1,0.3556217358738367
2023,4,E1,0.28971709165593945
2023,5,E1,0.20180859492391334
2023,8,E1,0.17672356091030791
2023,9,E1,0.1938088512241055
2023,10,E1,0.23269774011299438
2023,11,E1,0.2917963795687767
2023,12,E1,0.3378684807256236
2024,1,E1,0.39407003111322053
2024,2,E1,0.2047630583241049
2024,3,E1,0.20544724004276937
2024,4,E1,0.21257902298850576
2024,5,E1,0.4886206896551724
2024,8,E1,0.5597872340425532
2024,9,E1,0.5933007475560667
2024,10,E1,0.5433007475560667
2024,11,E1,0.43332027679853763
2024,12,E1,0.46440770225216027
2025,1,E1,0.3772282150726731
2025,2,E1,0.4677662793738559
2025,3,E1,0.37718832891246684
2025,4,E1,0.36939064714218234
2025,5,E1,0.39237915288930875
2008,1,F1,0.8
2008,2,F1,0.5833333333333334
2008,3,F1,0.4705215419501134
2008,4,F1,0.3149659863945578
2008,5,F1,0.3260770975056689
2008,8,F1,0.41111111111111115
2008,9,F1,0.43333333333333335
2008,10,F1,0.3416666666666666
2008,11,F1,0.2498299319727891
2008,12,F1,0.19176541584375684
2009,1,F1,0.27509874917709015
2009,2,F1,0.23278914240755308
2009,3,F1,0.34799651567944245
2009,4,F1,0.3146631823461091
2009,5,F1,0.4221428571428571
2009,8,F1,0.38166666666666665
2009,9,F1,0.42333333333333334
2009,10,F1,0.32037037037037036
2009,11,F1,0.26714456391875746
2009,12,F1,0.2538112305854241
2010,1,F1,0.24802419354838703
2010,2,F1,0.3179166666666666
2010,3,F1,0.4030448717948718
2010,4,F1,0.52396878483835
2010,5,F1,0.46256527606642023
2010,8,F1,0.30743707093821504
2010,9,F1,0.22192982456140345
2010,10,F1,0.16052631578947366
2010,11,F1,0.21885964912280698
2010,12,F1,0.3271929824561403
2011,1,F1,0.646969696969697
2011,2,F1,0.6969696969696969
2011,3,F1,0.5441919191919192
2011,4,F1,0.30648148148148147
2011,5,F1,0.25117845117845117
2011,8,F1,0.2622895622895623
2011,9,F1,0.23636363636363636
2011,10,F1,0.375
2011,11,F1,0.575
2011,12,F1,0.6249999999999999
2012,1,F1,0.5333333333333333
2012,2,F1,0.4880341880341881
2012,3,F1,0.3947717766866703
2012,4,F1,0.4308182883145773
2012,5,F1,0.3809954823942104
2012,8,F1,0.4464801159639504
2012,9,F1,0.38543360433604335
2012,10,F1,0.48531746031746037
2012,11,F1,0.4638704318936877
2012,12,F1,0.4749248536623952
2013,1,F1,0.3034962822338238
2013,2,F1,0.22772108843537417
2013,3,F1,0.25
2013,4,F1,0.375
2013,5,F1,0.5083333333333333
2013,8,F1,0.5391891891891891
2013,9,F1,0.46380159228996437
2013,10,F1,0.5165793700677422
2013,11,F1,0.4445072979956701
2013,12,F1,0.47108537108537113
2014,1,F1,0.46427533524307724
2014,2,F1,0.4691094376381552
2014,3,F1,0.38747678457693074
2014,4,F1,0.28317570930811353
2014,5,F1,0.18344671201814064
2014,8,F1,0.2888888888888889
2014,9,F1,0.2805555555555556
2014,10,F1,0.3120967741935484
2014,11,F1,0.4085880022637238
2014,12,F1,0.3919213355970572
2015,1,F1,0.5311403508771929
2015,2,F1,0.2855263157894737
2015,3,F1,0.28895768833849333
2015,4,F1,0.10410531349895547
2015,5,F1,0.22822812051649932
2015,8,F1,0.24146341463414642
2015,9,F1,0.325
2015,10,F1,0.32222222222222224
2015,11,F1,0.4168300653594772
2015,12,F1,0.3001633986928105
2016,1,F1,0.2779411764705883
2016,2,F1,0.2305555555555556
2016,3,F1,0.41180555555555554
2016,4,F1,0.39236111111111116
2016,5,F1,0.4958964646464647
2016,8,F1,0.5396464646464647
2016,9,F1,0.5643754619364375
2016,10,F1,0.39887429643527206
2016,11,F1,0.373874296435272
2016,12,F1,0.5764844804318489
2017,1,F1,0.5884502923976608
2017,2,F1,0.6201169590643275
2017,3,F1,0.45180555555555557
2017,4,F1,0.43774659863945575
2017,5,F1,0.4138756308975203
2017,8,F1,0.4992922975641869
2017,9,F1,0.433721624850657
2017,10,F1,0.2812289562289562
2017,11,F1,0.19403383427773668
2017,12,F1,0.34310790835181076
2018,1,F1,0.4878048780487805
2018,2,F1,0.375
2018,3,F1,0.26875
2018,4,F1,0.21874999999999997
2018,5,F1,0.2770833333333333
2018,8,F1,0.3970430107526881
2018,9,F1,0.35367566381391263
2018,10,F1,0.4203423304805793
2018,11,F1,0.33432082510423516
2018,12,F1,0.3140916808149405
2019,1,F1,0.24391624221844924
2019,2,F1,0.3959899749373433
2019,3,F1,0.3345864661654135
2019,4,F1,0.4805194805194805
2019,5,F1,0.36437546193643744
2019,8,F1,0.5773384248994003
2019,9,F1,0.4106717582327337
2019,10,F1,0.5442760942760941
2019,11,F1,0.5257575757575758
2019,12,F1,0.7101626016260162
2020,1,F1,0.35738482384823844
2020,2,F1,0.25222609368950827
2020,3,F1,0.3531746031746031
2020,8,F1,0.5753968253968252
2020,9,F1,0.5449346405228758
2020,10,F1,0.2805977229601517
2020,11,F1,0.16460673196916067
2020,12,F1,0.005783202557395968
2021,1,F1,-0.02976650119507278
2021,2,F1,-0.07082679225536385
2021,3,F1,-0.0030848567714928804
2021,4,F1,0.008861385139905817
2021,5,F1,0.006724633003153693
2021,8,F1,0.090264748801334
2021,9,F1,0.1087606837606836
2021,10,F1,0.46002188868042504
2021,11,F1,0.4891996075133163
2021,12,F1,0.36334490665861546
2022,1,F1,0.1968093703355103
2022,2,F1,0.2545609823343889
2022,3,F1,0.38874901652242305
2022,4,F1,0.4080227028685379
2022,5,F1,0.3508924018357979
2022,8,F1,0.18286519095144413
2022,9,F1,0.013053870196727158
2022,10,F1,0.02040816326530594
2022,11,F1,0.23843537414965968
2022,12,F1,0.30510204081632636
2023,1,F1,0.3249999999999998
2023,2,F1,0.26833333333333315
2023,3,F1,0.16940860215053746
2023,4,F1,0.12490505605124669
2023,5,F1,0.19030188144807206
2023,6,F1,0.15589327929753444
2023,8,F1,0.25255731922398567
2023,9,F1,0.18271604938271588
2023,10,F1,0.4106730386300277
2023,11,F1,0.28721624850657096
2023,12,F1,0.4000817455825943
2024,1,F1,0.25730994152046766
2024,2,F1,0.28508771929824545
2024,3,F1,-0.12037037037037057
2024,4,F1,-0.0925925925925928
2024,5,F1,-0.07098765432098786
2024,8,F1,0.22362514029180677
2024,9,F1,0.3544121773288438
2024,10,F1,0.23095538720538702
2024,11,F1,0.2260678016726402
2024,12,F1,0.23739026544075612
2025,1,F1,0.3577606358111265
2025,2,F1,0.401368760064412
2025,3,F1,0.10820105820105798
2025,4,F1,0.07116402116402094
2025,5,F1,0.15141093474426787
2008,1,G1,0.4375
2008,2,G1,0.48541666666666666
2008,3,G1,0.5378968253968254
2008,4,G1,0.5726190476190477
2008,8,G1,0.5198412698412699
2008,9,G1,0.37801932367149754
2008,10,G1,0.27746376811594203
2008,11,G1,0.2691304347826087
2008,12,G1,0.2383333333333333
2009,1,G1,0.39362745098039215
2009,2,G1,0.4183749257278669
2009,3,G1,0.44567377630257954
2009,4,G1,0.2937129919888541
2009,8,G1,0.10467980295566504
2009,9,G1,0.16391941391941392
2009,10,G1,0.2657712657712658
2009,11,G1,0.48005698005698005
2009,12,G1,0.4985185185185185
2010,1,G1,0.48
2010,2,G1,0.26125
2010,3,G1,0.3229166666666667
2010,4,G1,0.28125
2010,8,G1,0.375
2010,9,G1,0.36111111111111116
2010,10,G1,0.2569444444444445
2010,11,G1,0.3298611111111111
2010,12,G1,0.2881944444444444
2011,1,G1,0.28402777777777777
2011,2,G1,0.21245519713261649
2011,3,G1,0.3796774193548387
2011,4,G1,0.5991218637992831
2012,8,G1,0.445
2012,9,G1,0.3805555555555556
2012,10,G1,0.11777777777777781
2012,11,G1,0.4580555555555556
2012,12,G1,0.3275
2013,1,G1,0.4583333333333333
2013,2,G1,0.3645833333333333
2013,3,G1,0.2933467741935484
2013,4,G1,0.3891801075268817
2013,8,G1,0.5236047107014848
2013,9,G1,0.6213564213564213
2013,10,G1,0.5448132114798782
2013,11,G1,0.49719416386083054
2013,12,G1,0.5282186948853616
2014,1,G1,0.5806878306878307
2014,2,G1,0.514021164021164
2014,3,G1,0.5660493827160494
2014,4,G1,0.7419753086419755
2014,8,G1,0.7432824981844589
2014,9,G1,0.7230003112356055
2014,10,G1,0.5378151260504201
2014,11,G1,0.5044091710758377
2014,12,G1,0.4308641975308642
2015,1,G1,0.43441029682164434
2015,2,G1,0.5490487447934257
2015,3,G1,0.6368794326241135
2015,4,G1,0.742528735632184
2015,5,G1,0.7593354583212596
2015,8,G1,0.5515973630831644
2015,9,G1,0.4562908496732026
2015,10,G1,0.21373456790123457
2015,11,G1,0.36531502767134955
2015,12,G1,0.24031502767134957
2016,1,G1,0.3476274683171236
2016,2,G1,0.3267288267288268
2016,3,G1,0.43059356102834373
2016,4,G1,0.5376021080368907
2016,9,G1,0.5527536231884058
2016,10,G1,0.5761290322580646
2016,11,G1,0.5847564832384567
